No,Tanggal,Harga Pembukaan,Tertinggi,Terendah,Penutupan,Volume,Nilai,Frekuensi
1,2025-02-17,8975,9325,8975,9325,89096400,818775542500,21925
2,2025-02-14,9000,9075,8950,8975,116274500,1044788057500,23400
3,2025-02-13,9100,9150,9000,9000,90439700,817617295000,20406
4,2025-02-12,8950,9150,8950,9150,121172600,1095997277500,27665
5,2025-02-11,9025,9100,9000,9075,71188300,644089892500,20196
6,2025-02-10,9025,9250,9025,9150,76209100,696061780000,20252
7,2025-02-07,8950,9350,8825,9350,131162200,1201760495000,34185
8,2025-02-06,9075,9100,8850,8950,171477800,1535509045000,81623
9,2025-02-05,9100,9175,9100,9125,98229900,896442272500,28629
10,2025-02-04,9350,9400,9175,9175,94607700,875178227500,35496
11,2025-02-03,9400,9400,9225,9350,90439900,841721630000,34327
12,2025-01-31,9250,9500,9225,9450,112982800,1062122740000,24540
13,2025-01-30,9150,9275,9150,9150,154645800,1421241562500,67740
14,2025-01-24,9625,9650,9350,9350,152057000,1441026497500,68041
15,2025-01-23,9600,9750,9600,9600,120515400,1161047515000,25168
16,2025-01-22,9650,9675,9575,9600,90154800,865683077500,24749
17,2025-01-21,9600,9675,9550,9575,124547900,1196904822500,33891
18,2025-01-20,9850,9875,9625,9625,112111200,1085222997500,36855
19,2025-01-17,9750,9900,9650,9900,71033100,696773660000,18298
20,2025-01-16,9850,9925,9750,9750,76979000,754921277500,25725
21,2025-01-15,9575,9800,9550,9800,77098000,746002880000,20821
22,2025-01-14,9600,9725,9525,9525,70942600,680061042500,24824
23,2025-01-13,9625,9725,9625,9675,88270100,853411082500,24079
24,2025-01-10,9800,9925,9725,9725,72531300,711582285000,18134
25,2025-01-09,9750,9875,9725,9850,42733800,419861325000,13597
26,2025-01-08,9675,9775,9575,9675,55943100,540873132500,15348
27,2025-01-07,9675,9725,9525,9525,71318600,685707970000,28271
28,2025-01-06,9850,9875,9650,9675,41593900,404310072500,20789
29,2025-01-03,9850,9925,9825,9850,41916000,413273410000,15875
30,2025-01-02,9650,9900,9650,9900,38124800,373424090000,15631
31,2024-12-30,9800,9825,9675,9675,56350100,547279645000,21320
32,2024-12-27,9800,9825,9725,9800,24016700,234872337500,11664
33,2024-12-24,9850,9900,9750,9750,32415700,317612792500,12830
34,2024-12-23,9700,9850,9700,9775,43292100,422859055000,15554
35,2024-12-20,9650,9750,9625,9650,91576900,885119355000,28089
36,2024-12-19,9700,9775,9550,9675,104254100,1009626502500,41241
37,2024-12-18,9900,10025,9800,9800,84868500,837156810000,32549
38,2024-12-17,9950,10050,9900,9900,99845900,992605332500,29784
39,2024-12-16,10000,10125,10000,10100,57746100,581737965000,13556
40,2024-12-13,10125,10225,10025,10050,75126400,756942522500,20759
41,2024-12-12,10300,10375,10175,10175,44780100,458281485000,12446
42,2024-12-11,10225,10425,10225,10425,37934300,394257537500,13880
43,2024-12-10,10325,10350,10275,10350,61230400,632393607500,16744
44,2024-12-09,10025,10350,10000,10350,64458400,658624080000,17838
45,2024-12-06,10100,10175,10050,10075,68247200,689523857500,12722
46,2024-12-05,10250,10350,10225,10250,96904400,995027537500,15526
47,2024-12-04,10175,10250,10050,10200,97876300,998983882500,22273
48,2024-12-03,10025,10225,9900,10200,126087100,1270274277500,23917
49,2024-12-02,10000,10050,9750,9750,87879600,866637790000,44366
50,2024-11-29,10000,10100,9950,10000,76886000,770514087500,12383
51,2024-11-28,9975,10075,9925,10000,57443500,574637320000,17285
52,2024-11-26,10250,10250,10000,10000,62310100,628321295000,18697
53,2024-11-25,9950,10200,9900,10175,165369400,1676732035000,21752
54,2024-11-22,9925,9950,9850,9850,58396100,577527395000,22017
55,2024-11-21,10000,10000,9850,9850,93181200,923693185000,32590
56,2024-11-20,10025,10150,10000,10075,58584400,590190725000,15029
57,2024-11-19,9900,10025,9900,9925,85302000,849070050000,31798
58,2024-11-18,10075,10125,10000,10000,66883200,672125447500,23278
59,2024-11-15,10050,10275,10050,10175,63598200,646626727500,15625
60,2024-11-14,10125,10175,10050,10100,56381400,570156220000,15643
61,2024-11-13,10225,10250,10150,10150,62933100,641011727500,15122
62,2024-11-12,10100,10225,10000,10150,80378500,814746877500,18106
63,2024-11-11,9800,10050,9800,10050,128707600,1279921625000,37945
64,2024-11-08,10200,10225,10050,10075,92216000,932774647500,33477
65,2024-11-07,10325,10450,10175,10175,131579100,1348940575000,35440
66,2024-11-06,10475,10500,10375,10450,50324900,525089347500,10925
67,2024-11-05,10300,10575,10300,10500,50296500,525171937500,16658
68,2024-11-04,10425,10500,10300,10375,49275700,510741887500,23384
69,2024-11-01,10275,10425,10275,10425,47710000,494340572500,14182
70,2024-10-31,10325,10475,10250,10250,97553400,1007095512500,17609
